country,population_x,ranking,world_share,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_energy,per_capita_electricity,population_y,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Afghanistan,38928346,37,0.49938658469516484,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,53.62158208955224,0.08494827586206896,41.258247863247846,0.8068461538461538,0.0,,0.9352499999999999,7.914055555555556,0.7768888888888892,838.2490540540538,0.45478378378378365,,,6.87205,0.19280000000000003,,,21.516650000000002,,,,,6.87205,0.19280000000000003,,,,,,21.516650000000002,,31191969287.641792,,,,24.572749999999996,0.7288,,77.25565,,,,,24.96535,0.74245,,78.48335000000002,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,31.83760000000001,12434728.316666666,16.182972972972973,,,,24.96535,0.74245,,78.48335000000002,,,,,0.39215,0.01365,,1.22605,,,,,0.0005,0.0,,0.0017500000000000003,
Albania,2877797,140,0.03691739729388924,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,-1.3398636363636365,8.620689655170717e-06,417.6174017094018,1.0481196581196583,0.0,,5.2249,0.15616666666666645,-0.3644999999999999,12091.896729729731,2.559594594594594,,,15.139200000000002,0.04690000000000001,,,1.0957500000000002,,,,,0.0,0.0,,10.326184615384618,0.003974137931034477,304.27740170940154,0.808649572649572,0.0,,11537712591.323944,,,,1741.07955,5.176399999999999,,98.8751,,,,,1741.62015,5.17795,,98.90425,,,,,0.0,0.0,,0.0,,,,,15.139200000000002,0.04690000000000001,,19.62987951807229,0.1328017241379311,3279.9427008547013,8.15782905982906,1.0957500000000002,,,0.0,0.0,,,0.0,,0.0,,1756.7593499999998,1897892.35,36.398513513513514,,,,1741.62015,5.17795,,98.90425,,,,,0.5405,0.00155,,0.02915,,,,,0.0,0.0,,0.0,
Algeria,43851044,33,0.5625366949440225,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.74577777777777,0.09257407407407407,177.7858727272727,4.867927272727273,0.0,0.0,7.741480392156863,0.005890625000000011,66.04644615384616,0.5942307692307692,0.0,1.8092363636363633,33.87297142857143,6.678444444444444,12.597777777777777,9747.205127272726,1.0635744680851065,6.775444444444444,12.582685185185186,1223.1444000000001,45.52975000000001,9706.31090909091,289.52298181818185,99.2809,99.09536363636362,8.690574074074076,8.239796296296296,175.84227272727279,1223.1444000000001,45.52975000000001,5798.5410909090915,12.006726027397255,7.503026548672567,7785.745147826088,240.02707826086956,99.2809,54.44430909090909,267971700942.97873,16.958722222222224,-0.0135925925925926,0.7929090909090907,7.997171428571427,0.24371428571428563,38.44729090909093,1.0135142857142858,0.8888727272727269,19.086277777777784,0.01507407407407407,0.8948545454545453,9.366657142857141,0.30125714285714283,40.89423636363638,1.0934857142857144,0.9046363636363635,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.450574074074075,4.250370370370371,108.81278181818185,0.0,0.0,3729.984,40.306264367816084,6.275478991596637,13225.469800000003,321.6051333333333,0.0,42.84183636363636,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,986.5279428571428,16195533.941666666,290.4177818181818,19.086277777777784,0.01507407407407407,0.8948545454545453,9.366657142857141,0.30125714285714283,40.89423636363638,1.0934857142857144,0.9046363636363635,77.82955555555556,0.02818518518518518,0.0983818181818182,1.3144285714285713,0.05528571428571428,2.360309090909091,0.07668571428571429,0.015163636363636364,347.89360000000005,0.00048148148148148155,0.003581818181818182,0.05505714285714286,0.0022571428571428573,0.08670909090909089,0.0032857142857142855,0.0005818181818181818
American Samoa,55191,210,0.0007080096594885003,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.16795,0.4819722222222222,-0.008194444444444449,43509.483351351344,,,,2938.15355,0.16795,,,100.0,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,2938.15355,0.16795,,,,,,100.0,,,0.0,0.0,,,0.0,,0.0,,2938.15355,51425.0,2.161432432432433,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
Angola,32866272,44,0.4216201563185414,,0.0,0.0,0.0,1.4677,0.0443,0.39855,,,,,,,0.0,0.0,,,,,0.0,,5.752299999999999,5.542583333333334,2.418027777777778,2416.2116216216214,1.1545675675675677,,,71.51325,1.82905,,,31.014549999999996,,,,,38.942249999999994,0.9960000000000001,,,0.0,0.0,0.0,16.888849999999998,,43857900873.14286,,,,152.05949999999999,3.8710499999999994,,68.49535,,,,,153.81125,3.923199999999999,,68.98544999999999,,,,,0.0,0.0,,0.0,,,,,32.57085,0.8330500000000001,,25.116698412698426,6.738756302521008,10371.813358333337,187.55210833333334,14.1257,,,0.0443,0.0,,,1.4677,,0.39855,,225.32439999999997,8857575.591666667,43.81445945945946,,,,153.81125,3.923199999999999,,68.98544999999999,,,,,0.28404999999999997,0.00785,,0.0915,,,,,0.0,0.0,,0.0,
Antigua and Barbuda,97929,201,0.0012562678325098006,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.27194999999999997,2.3241111111111117,0.03627777777777778,28850.952243243242,,,,3066.4699000000005,0.2696,,,99.28944999999999,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,24.84395,0.00235,,0.7105500000000001,,,,,0.0,0.0,,0.0,,,,,3066.4699000000005,0.2696,,,,,,99.28944999999999,,,0.0,0.0,,,0.0,,0.0,,3091.3138499999995,76025.0,2.1757837837837837,,,,24.84395,0.00235,,0.7105500000000001,,,,,24.84395,0.00235,,0.7105500000000001,,,,,0.0,0.0,,0.0,
Argentina,45195774,32,0.5797873667818941,14.100666666666665,0.3393148148148149,58.366,2.519909090909091,33.56961904761905,1.3784285714285711,1.1886666666666665,0.2596909090909091,,2.0837037037037045,-0.03898148148148147,328.93580000000003,10.633636363636358,45.63911111111111,1.7518333333333331,14.610949999999997,0.03560937499999999,15.651476923076924,0.31233846153846145,1.937555555555556,1.9116909090909082,93.08847222222224,2.1572592592592597,12.0120925925926,17878.78190909091,1.2090576923076923,1.8878333333333333,9.273222222222223,1440.0289722222224,56.80341666666667,15694.024945454546,533.1204909090908,58.11627777777778,88.3398909090909,4.77724074074074,8.030962962962962,245.56512727272727,1158.0231388888888,45.874750000000006,6747.910781818183,6.429255555555558,3.5207256637168154,3048.8294086956535,109.11340869565218,46.34330555555555,36.117363636363635,271476774395.62393,8.059111111111113,1.6367037037037049,61.95052727272726,733.4969722222222,27.861861111111114,1695.6387454545454,32.10811111111111,9.082272727272727,9.010870370370368,2.7387592592592602,80.19745454545456,951.6866111111109,36.19116666666666,2184.7569454545455,41.72316666666666,11.660109090909096,7.961622222222223,0.3870555555555555,13.366781818181819,181.593,6.795861111111111,372.97390909090916,8.305027777777775,2.041472727272727,0.5843703703703703,1.2812592592592593,276.9216727272727,236.36686111111106,9.17675,8617.178381818183,11.828909909909909,2.8134453781512616,5565.422491666666,170.515975,9.835444444444443,50.31085454545453,1.8432909090909095,0.8907499999999998,0.0,11.158877551020414,0.10988888888888891,22.092027777777783,45.941618181818185,0.826,0.22225454545454545,2394.5256111111116,22032159.358333334,613.318,8.630703703703704,2.3517222222222216,66.8307090909091,770.0937222222224,29.395305555555556,1811.782945454545,33.418111111111116,9.61858181818182,174.2045714285714,0.03668518518518519,0.04487272727272727,1.4461944444444446,0.06494444444444444,1.0078363636363636,0.04830555555555555,0.004636363636363636,82.55434782608695,0.22907407407407407,0.4720363636363636,13.058388888888889,0.57775,10.82870909090909,0.43572222222222223,0.049745454545454544
Armenia,2963243,137,0.038013528789326186,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,6.36985,-0.22025000000000006,-0.6147083333333335,12673.521480000003,2.7715600000000005,,,737.11815,2.1731000000000003,,,33.50085,,,,,737.11815,2.1731000000000003,,,0.0,0.0,0.0,33.50085,,16455840911.36,,,,676.2212000000002,1.9888000000000001,,31.2685,,,,,1425.5952,4.1968,,66.49914999999999,,,,,747.9743000000001,2.2039,,35.17159999999999,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,2162.7132000000006,3029035.714285714,38.49148,,,,677.6209,1.9929,,31.32765,,,,,0.6266499999999999,0.0018499999999999999,,0.02525,,,,,0.7731500000000001,0.0022500000000000007,,0.034100000000000005,
Aruba,106766,197,0.0013696319926247006,,,,,2.2857,0.00025,0.0264,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.8684499999999999,14.478166666666668,0.16630000000000003,44525.440645161296,,,,7887.5104999999985,0.79525,,,92.00249999999998,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,,0.0,,,,,703.4847000000001,0.0733,,7.9975,,,,,0.0,0.0,,0.0,,,,,7887.5104999999985,0.79525,,,,,,92.00249999999998,,,0.00025,0.0,,,2.2857,,0.0264,,8590.995249999998,89235.29411764706,4.071258064516129,,,,703.4847000000001,0.0733,,7.9975,,,,,31.8303,0.0033999999999999994,,0.358,,,,,669.3687500000001,0.06960000000000002,,7.6131,
Australia,25499884,55,0.32712152684018053,113.18064285714284,0.2867777777777778,148.45738181818183,3.454781818181819,133.2800952380952,2.976952380952381,1.2765714285714285,0.21625454545454545,,1.7215740740740744,5.43114814814815,24350.236472727287,438.1928545454546,7351.5614166666655,146.88422222222223,5.064571428571426,29.83504901960784,48411.63774038462,861.0279711538462,73.30852777777778,40.45999999999999,202.82588888888893,2.8072962962962955,25.464518518518517,60399.97058181818,2.1001730769230775,2.746370370370371,23.0507037037037,8849.450138888888,178.5730555555556,57468.97165454546,1043.5935454545452,88.17374999999998,95.13969090909094,49.287222222222226,9.95138888888889,186.4447090909091,1311.8953333333332,27.87844444444445,9477.35189090909,887.6962105263158,13.428079646017702,7157.873530434784,148.10688695652175,12.984000000000002,14.670345454545453,285671068553.8461,1.5232777777777784,0.2599444444444444,38.17245454545456,773.8159722222225,15.280638888888891,2214.945309090909,7.829277777777779,3.7978181818181818,3.887314814814815,2.413851851851853,54.442254545454546,1125.1324722222225,23.505583333333334,2930.998854545455,11.295944444444446,4.860309090909092,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025555555555557,7.6681481481481475,418.9560181818182,185.9933888888889,3.8103611111111113,23641.38341818181,14.018872727272726,2.0122605042016817,6632.332091666668,116.38308333333332,1.881138888888889,40.009327272727276,3.7384181818181825,2.054222222222222,0.0004285714285714286,5.832777777777777,0.1487222222222222,95.89344444444443,186.18,0.9364444444444445,0.2888181818181818,10020.119444444448,11690707.108333332,1098.0358363636365,3.887314814814815,2.413851851851853,54.442254545454546,1125.1324722222225,23.505583333333334,2930.998854545455,11.295944444444446,4.860309090909092,38.58007142857142,0.8231481481481482,3.121163636363636,84.432,2.0753055555555555,128.6048,0.8436111111111111,0.1885090909090909,50.13823076923078,0.8953148148148148,5.955436363636363,170.99099999999999,4.095472222222223,252.81143636363637,1.6865,0.36889090909090905
