country_name,population,ranking,world_share
China,1439323776,1,18.46415423781907
India,1380004385,2,17.703184119086387
United States,331002651,3,4.246219025281353
Indonesia,273523615,4,3.5088576311031785
Pakistan,220892340,5,2.833685028845637
Brazil,212559417,6,2.7267873466914097
Nigeria,206139589,7,2.64443152352722
Bangladesh,164689383,8,2.112693627207377
Russia,145934462,9,1.8720988702552679
Mexico,128932753,10,1.6539949366462974
Japan,126476461,11,1.6224847545056522
Ethiopia,114963588,12,1.4747935495544024
Philippines,109581078,13,1.4057448084137547
Egypt,102334404,14,1.3127819124494813
Vietnam,97338579,15,1.2486937031922805
DR Congo,89561403,16,1.14892534002542
Turkey,84339067,17,1.0819313675825477
Iran,83992949,18,1.077491243516616
Germany,83783942,19,1.0748100278310746
Thailand,69799978,20,0.895418793935339
United Kingdom,67886011,21,0.8708657486210261
France,65273511,22,0.8373516750326924
Italy,60461826,23,0.7756256787938861
Tanzania,59734218,24,0.7662916661410784
South Africa,59308690,25,0.7608328425215964
Myanmar,54409800,26,0.6979881497135
Kenya,53771296,27,0.6897971946733295
South Korea,51269185,28,0.6576992302024475
Colombia,50882891,29,0.6527437142052296
Spain,46754778,30,0.5997868212433322
Uganda,45741007,31,0.5867818084602819
Argentina,45195774,32,0.5797873667818942
Algeria,43851044,33,0.5625366949440225
Sudan,43849260,34,0.562513809161331
Ukraine,43733762,35,0.5610321599857117
Iraq,40222493,36,0.5159883599265979
Afghanistan,38928346,37,0.4993865846951639
Poland,37846611,38,0.4855097056930295
Canada,37742154,39,0.4841696943686978
Morocco,36910560,40,0.4735017125460693
Saudi Arabia,34813871,41,0.4466046448186627
Uzbekistan,33469203,42,0.4293547683387096
Peru,32971854,43,0.42297459954059125
Angola,32866272,44,0.4216201563185421
Malaysia,32365999,45,0.4152024774147119
Mozambique,31255435,46,0.4009557698087581
Ghana,31072940,47,0.3986146594319149
Yemen,29825964,48,0.3826180104646858
Nepal,29136808,49,0.3737772736616842
Venezuela,28435940,50,0.3647862911821786
Madagascar,27691018,51,0.3552301684164107
Cameroon,26545863,52,0.3405397152336171
Côte d'Ivoire,26378274,53,0.33838982429444187
North Korea,25778816,54,0.33069976514607236
Australia,25499884,55,0.32712152684018103
Niger,24206644,56,0.3105313869253957
Taiwan,23816775,57,0.3055300095643201
Sri Lanka,21413249,58,0.2746967283258614
Burkina Faso,20903273,59,0.2681545759077622
Mali,20250833,60,0.25978484493284454
Romania,19237691,61,0.2467879011841626
Malawi,19129952,62,0.2454057872035565
Chile,19116201,63,0.24522938451421172
Kazakhstan,18776707,64,0.24087423546204034
Zambia,18383955,65,0.23583587395774744
Guatemala,17915568,66,0.2298272399344675
Ecuador,17643054,67,0.2263313340015101
Syria,17500658,68,0.2245046277727314
Netherlands,17134872,69,0.21981219564963772
Senegal,16743927,70,0.21479701498016743
Cambodia,16718965,71,0.21447679361943559
Chad,16425864,72,0.21071679037242536
Somalia,15893222,73,0.20388387049329149
Zimbabwe,14862924,74,0.1906668435115066
Guinea,13132795,75,0.16847213705282327
Rwanda,12952218,76,0.16615563145804413
Benin,12123200,77,0.1555206954741003
Burundi,11890784,78,0.1525391808608539
Tunisia,11818619,79,0.1516134227286043
Bolivia,11673021,80,0.14974564011183333
Belgium,11589623,81,0.14867578108441903
Haiti,11402528,82,0.14627566028135328
Cuba,11326616,83,0.14530183430843938
South Sudan,11193725,84,0.14359706157993132
Dominican Republic,10847910,85,0.13916082450511807
